 Package                              Name                                                                       Type    Status         Version        
 Features                             FirstThreeModules (firstthreemodules)                                      Module  Not installed                 
 Features                             FirstThreeModulesV2 (firstthreemodulesv2)                                  Module  Enabled                       
 Features                             PhotoEssay (photoessay)                                                    Module  Disabled                      
 Features                             SecondFeatureWithAdminConfiguration (secondfeaturewithadminconfiguration)  Module  Not installed                 
 Features                             UUID Services Example (uuid_services_example)                              Module  Not installed  7.x-1.0-alpha6 
 Feeds                                Feeds (feeds)                                                              Module  Enabled        7.x-2.0-alpha8 
 Feeds                                Feeds Admin UI (feeds_ui)                                                  Module  Enabled        7.x-2.0-alpha8 
 Feeds                                Feeds Import (feeds_import)                                                Module  Enabled        7.x-2.0-alpha8 
 Feeds                                Feeds News (feeds_news)                                                    Module  Enabled        7.x-2.0-alpha8 
 Fields                               Address Field (addressfield)                                               Module  Enabled        7.x-1.2        
 Fields                               Entity Reference (entityreference)                                         Module  Enabled        7.x-1.1        
 Fields                               Entity Reference Behavior Example (entityreference_behavior_example)       Module  Not installed  7.x-1.1        
 Fields                               Field Permissions (field_permissions)                                      Module  Enabled        7.x-1.0-beta2  
 Fields                               File Field Sources (filefield_sources)                                     Module  Enabled        7.x-1.9        
 Fields                               FileField Sources Plupload (filefield_sources_plupload)                    Module  Enabled        7.x-1.1        
 Fields                               Inline Entity Form (inline_entity_form)                                    Module  Enabled        7.x-1.6        
 Fields                               Multiupload Filefield Widget (multiupload_filefield_widget)                Module  Enabled        7.x-1.13       
 Fields                               Multiupload Imagefield Widget (multiupload_imagefield_widget)              Module  Enabled        7.x-1.3        
 Fields                               Select (or other) (select_or_other)                                        Module  Enabled        7.x-2.22       
 ImageAPI                             ImageAPI (imageapi)                                                        Module  Enabled        7.x-1.x-dev    
 ImageAPI                             ImageAPI GD2 (imageapi_gd)                                                 Module  Enabled        7.x-1.x-dev    
 ImageAPI                             ImageAPI ImageMagick (imageapi_imagemagick)                                Module  Enabled        7.x-1.x-dev    
 Input filters                        Emogrifier (emogrifier)                                                    Module  Not installed  7.x-2.0-beta1  
 Input filters                        Pathologic (pathologic)                                                    Module  Enabled        7.x-3.1        
 Mail                                 HTML Mail (htmlmail)                                                       Module  Enabled        7.x-2.65       
 Mail                                 Mail MIME (mailmime)                                                       Module  Disabled       7.x-2.18       
 Mail                                 Mail System (mailsystem)                                                   Module  Enabled        7.x-2.34       
 Mail                                 SMTP Authentication Support (smtp)                                         Module  Not installed  7.x-1.0        
 Media                                Bulk Media Upload (bulk_media_upload)                                      Module  Enabled        7.x-1.x-dev    
 Media                                File entity (file_entity)                                                  Module  Enabled        7.x-2.0-alpha3 
 Media                                IMCE (imce)                                                                Module  Enabled        7.x-1.9        
 Media                                Media (media)                                                              Module  Enabled        7.x-2.0-alpha3 
 Media                                Media Field (mediafield)                                                   Module  Disabled       7.x-2.0-alpha3 
 Media                                Media Internet Sources (media_internet)                                    Module  Disabled       7.x-2.0-alpha3 
 Media                                Media WYSIWYG View Mode (media_wysiwyg_view_mode)                          Module  Disabled       7.x-2.0-alpha3 
 Media                                Plupload integration module (plupload)                                     Module  Enabled        7.x-1.7        
 Message                              Message (message)                                                          Module  Enabled        7.x-1.11       
 Message                              Message example (message_example)                                          Module  Not installed  7.x-1.11       
 Message                              Message notify (message_notify)                                            Module  Enabled        7.x-2.5        
 Message                              Message notify example (message_notify_example)                            Module  Not installed  7.x-2.5        
 Message                              Message OG example (message_og_example)                                    Module  Not installed  7.x-1.11       
 Most Popular                         Most Popular - AddThis.com (mostpopular_addthis)                           Module  Not installed  7.x-1.1+3-dev  
 Most Popular                         Most Popular - Disqus (mostpopular_disqus)                                 Module  Not installed  7.x-1.1+3-dev  
 Most Popular                         Most Popular - Drupal (mostpopular_drupal)                                 Module  Disabled       7.x-1.1+3-dev  
 Most Popular                         Most Popular - Google Analytics (mostpopular_ga)                           Module  Not installed  7.x-1.1+3-dev  
 Most Popular                         Most Popular Core (mostpopular)                                            Module  Disabled       7.x-1.1+3-dev  
 Multilingual - Internationalization  Profile2 translation (profile2_i18n)                                       Module  Not installed  7.x-1.3        
 Multilingual - Internationalization  Rules translation (rules_i18n)                                             Module  Not installed  7.x-2.9        
 Node export                          Node export (node_export)                                                  Module  Enabled        7.x-3.0        
